kinase,log2FC_iCCA_HCC,rna_p,hcc_tpm,icca_tpm,rna_fdr,chronos_HCC,chronos_iCCA,chronos_other,icca_selective,hcc_selective,dep_p_icca_vs_other,dep_p_hcc_vs_other,dep_diff_iCCA_minus_HCC,dep_p_icca_vs_hcc,iCCA_essential,HCC_essential,iCCA_selective_dep,HCC_selective_dep,rna_iCCA_up,rna_HCC_up,chcca_position,icca_over_hcc_dep,hcc_over_icca_dep
FERMT2,-0.1915958998567473,0.1575283976137276,4.026674889980339,3.8350789901235918,0.17766360633127173,-0.9935008826478519,-0.5800968395275312,-0.6083324667219008,0.02823562719436956,-0.3851684159259511,0.6166066619982478,0.001426458889056172,0.41340404312032064,0.015627559093644865,True,True,False,True,False,False,,False,True
FGFR1,3.1606321416346175,1.3319710736152952e-19,1.5072172888274284,4.667849430462046,1.386273027995852e-17,-0.4449988415156555,-0.050432581849601414,-0.11864178956947645,0.06820920771987504,-0.32635705194617903,0.1487483755735369,0.00043367001972994146,0.3945662596660541,0.0012851152318451547,False,True,False,True,True,False,0.22214152091913422,False,True
PTK2,0.558394240722571,8.340226200033821e-05,3.9048825812397525,4.463276821962324,0.00012254116856683707,-0.9454279259388901,-0.6106532290507383,-0.5568317397272259,-0.053821489323512384,-0.38859618621166425,0.2791416482073489,0.00010255517595160527,0.33477469688815187,0.011117560716106983,True,True,False,True,False,False,,False,True
MTOR,-0.002624505008263611,0.9399418735595164,3.7660760557588375,3.763451550750574,0.9462502082813924,-1.4361566467568183,-1.1152341428499608,-1.1685322524078487,0.05329810955788794,-0.26762439434896956,0.33913575265819484,0.0017688777454051348,0.3209225039068575,0.009665422163922356,True,True,False,True,False,False,,False,True
PLK1,1.0146832279377591,6.036816693353456e-06,2.315141112890297,3.329824340828056,9.960747544033202e-06,-2.8609672816093656,-2.6073064906867227,-2.6918132833091,0.08450679262237726,-0.16915399830026567,0.3486680843600549,0.09848835985389773,0.25366079092264293,0.04248317022751403,True,True,False,False,True,False,-0.3778048107502632,False,True
SLC39A7,0.4006238916815681,0.0027387450296597316,7.47741860344169,7.878042495123258,0.003566637173590022,-1.1253189065886198,-0.9030145931150486,-0.9857920211585024,0.08277742804345378,-0.13952688543011738,0.24857428226145228,0.033152344395229474,0.22230431347357116,0.005012287145488675,True,True,False,False,False,False,,False,True
ITGB5,1.4350081397592076,2.7123874385110905e-15,5.945231927463403,7.38024006722261,2.1011511737723284e-14,-0.49903708848991685,-0.2849981250346945,-0.312814920012969,0.027816794978274495,-0.18622216847694784,0.5438159341186088,0.0039569220596021625,0.21403896345522233,0.016702000120836363,False,True,False,False,True,False,-0.5,False,True
RCC1,0.46464437508097056,0.00033537354810328257,4.186557237438463,4.651201612519434,0.00046935229378321984,-1.607831377638566,-1.4065294002600066,-1.5373409427278601,0.13081154246785354,-0.07049043491070583,0.035698561681981794,0.24242862772017404,0.20130197737855937,0.01461440662792917,True,True,False,False,False,False,,False,True
ARPC4,0.5547111797249267,6.866624376616128e-07,5.723772179577534,6.27848335930246,1.2436805951061045e-06,-0.9017335696636684,-0.7006968057094076,-0.6651488753497348,-0.03554793035967285,-0.23658469431393359,0.31309666776194345,0.00016051730881318913,0.20103676395426073,0.019046991875026217,True,True,False,True,False,False,,False,True
