kinase,act_diff_iCCA_minus_HCC,p,n_sub_HCC,fdr,rna_diff_iCCA_minus_HCC,concordant
PRKAG3,-0.1701248501586725,8.08465621421182e-09,0,6.180850073445811e-08,-0.03959168552538948,True
PRKAB2,-0.1701248501586725,8.08465621421182e-09,14,6.180850073445811e-08,-0.4012802041366381,True
HIPK2,-0.12439466211964884,3.949008364599262e-07,1,2.034597787847881e-06,-0.33978143889352985,True
PAK1,0.04795587150765377,0.012418874468188231,9,0.022994322257504772,1.5183952806874883,True
ANXA1,0.06333568918950401,0.019496317239058755,1,0.035004751406491855,1.0589273669751855,True
RPS6KA2,0.07375942682170257,0.0011319152218889881,1,0.002709736440279699,1.1517541553497486,True
PIM2,0.07734391146716776,0.010637318326698631,0,0.019850743649036027,0.7747901366626508,True
RAC1,0.08305870239648058,0.004824513653580854,0,0.009449667238831921,0.9359404975865617,True
PRKCZ,0.09364216909864041,0.002564292368638998,1,0.0055248844669767505,0.7886428690436045,True
MAP2K2,0.10038385678393272,0.014151218042443594,6,0.025998749426814974,0.5577168792980887,True
PRKCE,0.10213773732816117,0.0035497135027133388,3,0.0072524318977850106,0.3565001492990465,True
PRKCQ,0.10311979950241955,0.0035497135027133388,1,0.0072524318977850106,1.1441233092669174,True
PRKCA,0.10349040094266254,0.000496322699914178,5,0.0012648223642974215,0.9165119871448457,True
DYRK1B,0.10470337317217727,0.009642849766498762,0,0.018137741227461958,1.8101505291661524,True
RPS6KA5,0.10580553608934865,0.00016124302359107204,2,0.0004660316657449277,0.5481120323478359,True
MAP2K1,0.12291005089021234,0.001890410692218823,2,0.0043497799422899126,0.7567645363641446,True
PRKCG,0.12468617062402124,0.002203855497134706,1,0.004959547882475911,0.33840037197609807,True
RPS6KA1,0.1248741120210059,3.4799541758245138e-06,2,1.4995438903098359e-05,0.9867045917203412,True
PRKG2,0.13070524261479452,0.0005164972872298427,0,0.0013022325220582204,1.0268507599079855,True
MLST8,0.13537752629980246,0.021449742428229196,0,0.037937231011121786,0.6338249134251859,True
LIMK2,0.13682404321718353,0.01692466395743396,1,0.030619430213067546,1.1523563665603525,True
MAPKAPK5,0.13798303967196468,6.197355684085496e-05,2,0.0002012018215244195,0.7953524859505658,True
RPS6KA4,0.14013259434056274,0.00476645863645931,6,0.009413755807007138,1.2205728838299645,True
PRKCD,0.14980529165136475,4.1965486379365395e-06,8,1.776039334269571e-05,1.0423342458540992,True
MAP3K14,0.15008917560895127,0.008342005018302581,0,0.015816441514701695,1.083584538872508,True
PPP1CA,0.1538133766684956,0.00013952326399331995,1,0.0004082347353878621,0.7884994528064793,True
EIF2AK2,0.15515369808544824,6.907222331808165e-06,0,2.774596089217856e-05,1.227547914287832,True
RPS6KB2,0.15732970310743477,4.7557775701951815e-05,2,0.00015874919494876874,0.40752528575960634,True
CLK2,0.15748960802712192,3.6203562634325395e-07,5,1.906720965407804e-06,1.2695073372738177,True
PRKY,0.16001468200423277,1.5412669872082907e-05,0,5.7980996185454755e-05,0.533420357938007,True
PRKX,0.16003352137755858,9.923106986135184e-06,0,3.8553710749410466e-05,2.527289357924749,True
IFNG,0.16124800566433264,3.1523076671293587e-06,0,1.3835128094623296e-05,0.07600426766199181,True
JAK2,0.17311759020578477,0.00476645863645931,1,0.009413755807007138,0.8395228891201636,True
AKT1S1,0.17355595543224223,0.0022181944115715045,7,0.004959547882475911,0.3846000182890341,True
RPTOR,0.17970147842359252,0.0017466606434129574,7,0.004098599727612583,0.5539574477439633,True
PAK2,0.18508468947591059,0.002211014301351665,11,0.004959547882475911,0.7963421800862163,True
MAPKAPK2,0.19049958727332228,1.78141844604661e-05,0,6.301435398702188e-05,0.9979945044160683,True
PIN1,0.19358917458601238,1.6247843194672635e-05,0,6.0167794330272106e-05,0.741694135777414,True
DIPK2A,0.19649492109224811,6.726840560462624e-05,0,0.0002154407044364381,0.7409326662721369,True
PKM,0.19766100712512055,8.376010853259207e-08,5,5.22398571637482e-07,3.674600584393348,True
PMAIP1,0.20590321232497355,3.636097634002656e-05,0,0.0001248920491679173,2.3429757222462833,True
ABL1,0.21403300827372918,0.0010123148323874813,7,0.002448149135467684,1.2523812478780907,True
CAMK2A,0.21926254653582164,1.8563530000427144e-07,0,1.0475134785955316e-06,0.15191518733715031,True
RSKR,0.2308367354334941,2.8286672805378705e-07,0,1.5236230579260802e-06,0.8253558183876517,True
RPS6KA6,0.2308367354334941,2.8286672805378705e-07,0,1.5236230579260802e-06,1.1715999899143865,True
TFRC,0.23086978326953506,0.00018683560536329437,2,0.0005089659594379398,0.6420709517904406,True
DYRK2,0.23698505287723876,3.465097983769682e-08,2,2.219535735549769e-07,1.6749165923811655,True
GRK5,0.2407081643913861,2.8168113269978845e-10,2,2.9025403673847767e-09,0.2475497811069336,True
PRKCH,0.2457767591390687,0.0002088854570821633,5,0.0005625665150962806,0.9405419539120268,True
IL6,0.2622507473677349,7.566160530035501e-06,0,2.9886334093640226e-05,0.9600125518602491,True
GRK2,0.27589679681839696,6.78219262481491e-06,1,2.7713442277260924e-05,1.0357818418519642,True
CAMK2D,0.28504625989248566,3.7299725955024516e-11,11,4.911130584078228e-10,0.816959872530906,True
CAMK2B,0.29609188407174175,1.351727452832205e-13,6,2.669661719343605e-12,0.008906334063473964,True
CAMK2G,0.3167283056029848,7.848874414985756e-15,8,1.770648909530544e-13,1.0427014934685146,True
GKN2,0.3782177625167343,7.158548785470216e-15,0,1.770648909530544e-13,0.052423996012086777,True
